X,Y,OBJECTID,NAME,LONGITUDE,LATITUDE
-79.829974422335653,43.250047108926751,67,Bernie Morelli Recreation Centre,-79.82997442217562,43.2500471102715
-79.754007036565739,43.195180107961711,68,F.h. Sherman Recreation And Learning Centre,-79.75400703666024,43.19518010885993
-79.878045013087828,43.198361891424526,1,Ymca - Les Chater Family,-79.87804501322543,43.19836189255679
-79.877647328147887,43.256036876329013,2,Main Hess Senior Centre,-79.87764732839432,43.256036876963414
-80.006282983281253,43.215168797948962,3,Ancaster Aquatic Centre,-80.00628298385762,43.21516879926916
-80.007789338110186,43.218072246638364,4,Ancaster Rotary Centre,-80.0077893378293,43.21807224775518
-79.861782732505887,43.258051342214195,5,Beasley Community Centre,-79.86178273189563,43.25805134334364
-79.860936974853828,43.270089764985848,6,Bennetto Community Centre,-79.86093697441686,43.27008976581619
-80.111278182868631,43.298676401544412,7,Beverly Community Centre,-80.1112781832198,43.29867640239487
-80.126633044387859,43.300472072819161,8,Beverly Township Hall,-80.12663304435652,43.30047207385531
-79.804037846924444,43.123005532159738,9,Binbrook Memorial Hall,-79.80403784665256,43.12300553296204
-79.711543338517799,43.218099912479865,10,H.g. Brewster Pool,-79.71154333898465,43.21809991331717
-79.981319960761823,43.396778495121332,11,Carlisle Community Centre,-79.98131996136647,43.3967784957488
-79.981479859663565,43.393942895630424,12,Carlisle Memorial Hall,-79.98147985959972,43.3939428969837
-79.985475414337486,43.145407474939603,13,Carluke Hall,-79.98547541389685,43.14540747545268
-79.859242822711977,43.249543289798702,14,Central Memorial Recreation Centre,-79.85924282307775,43.249543290799735
-79.758342357889887,43.217355036746262,15,"Ada Bland ""Club 60"" Senior Citizen Centre",-79.75834235741497,43.21735503732258
-79.913154580499196,43.258363948147213,16,Dalewood Recreation Centre,-79.91315458049925,43.25836394938631
-79.963556325792041,43.265474425934535,17,Dundas Community Pool,-79.96355632580912,43.26547442719099
-79.963593597138413,43.267379055413073,18,Dundas Lions Memorial Community Centre,-79.96359359748914,43.267379056336324
-79.848660043617002,43.236433715646918,19,Eastmount Community Centre,-79.84866004372734,43.23643371677038
-79.704598996756957,43.218536637392056,20,Fruitland Lions Community Hall,-79.7045989964928,43.218536638069104
-79.838720967047337,43.130026068996507,21,Glanbrook Arena & Auditorium,-79.83872096757962,43.13002607003663
-79.988364836084713,43.276846132684234,22,Greensville Hall,-79.98836483627639,43.27684613337756
-79.818846263167359,43.243961480092544,23,Ywca - Hamilton Family - Ottawa St,-79.81884626364793,43.24396148093369
-79.863125107812067,43.227818504655161,24,Hill Park Recreation Centre,-79.86312510821163,43.22781850541992
-79.829393387288931,43.220747227194849,25,Huntington Park Recreation Centre,-79.82939338728264,43.220747228388596
-79.830258563438278,43.24939123207136,26,Jimmy Thompson Pool,-79.83025856294296,43.24939123299326
-79.81073838593332,43.24855414430516,27,East Kiwanis Boys & Girls Club,-79.81073838642523,43.24855414547234
-79.691276011637186,43.213481499914607,28,Kiwanis Community Centre,-79.69127601122061,43.213481500939245
-79.999699672688962,43.218232498614888,29,Ancaster Lion's Outdoor Pool,-79.99969967261036,43.21823249987303
-80.146210415453652,43.226579858201418,30,Lynden Community Centre,-80.14621041535916,43.22657985948866
-79.959428025721436,43.335153593263264,31,Millgrove Community Centre,-79.95942802610175,43.33515359398153
-79.911428781556722,43.160224690876497,32,Mount Hope Community Hall/youth Centre,-79.91142878213512,43.16022469219231
-79.842864489599748,43.264949549552441,33,Eva Rothwell Resource Centre,-79.84286448991884,43.26494955083168
-79.922546346865417,43.312947211991016,34,North Wentworth Community Centre,-79.92254634666881,43.31294721249394
-79.976264544130686,43.225512303784804,35,Ancaster Old Town Hall,-79.97626454359411,43.22551230439663
-79.882356442634517,43.253812786658322,36,Ryerson Recreation Centre,-79.88235644210206,43.25381278788129
-79.889220443286675,43.330815209142237,37,Sealey Park Scout Hall,-79.88922044290048,43.330815209686776
